,id,place,speedrun_link,submitted_date,primary_time_seconds,real_time_seconds,player_id,player_name,player_country,platform,verified
0,y4k0r4km,1,https://www.speedrun.com/sm64/run/y4k0r4km,2024-01-16T09:46:48Z,5781,5781,kjprmwk8,Weegee,United States,N64,Yes
1,mkpej9vy,2,https://www.speedrun.com/sm64/run/mkpej9vy,2024-04-12T14:04:23Z,5789,5789,j2ylqn68,Karin,Japan,N64,Yes
2,z0ddqwoy,3,https://www.speedrun.com/sm64/run/z0ddqwoy,2024-05-16T04:38:07Z,5804,5804,8wkzer38,Parsee02,Japan,N64,Yes
3,yjwgkr7m,4,https://www.speedrun.com/sm64/run/yjwgkr7m,2023-10-22T09:45:36Z,5823,5823,jo2mr9n8,marlene,,N64,Yes
4,m7n0o30z,5,https://www.speedrun.com/sm64/run/m7n0o30z,2024-05-05T13:57:36Z,5832,5832,zx77v7rx,simply,United States,N64,Yes
5,y2kedw7y,6,https://www.speedrun.com/sm64/run/y2kedw7y,2023-11-23T15:29:50Z,5837,5837,kj9yz0wx,Liam,United States,N64,Yes
6,z5kgg1dz,7,https://www.speedrun.com/sm64/run/z5kgg1dz,2023-12-31T14:32:31Z,5847,5847,v814mkp8,cheese,Spain,N64,Yes
7,y9jkp0rm,8,https://www.speedrun.com/sm64/run/y9jkp0rm,2024-05-11T00:48:18Z,5851,5851,48gev4rj,puncayshun,United States,N64,Yes
8,zglg1vdm,9,https://www.speedrun.com/sm64/run/zglg1vdm,2024-03-30T06:55:13Z,5858,5858,pj0zz298,BeastAssassin67,United States,N64,Yes
9,z5kvqwdz,10,https://www.speedrun.com/sm64/run/z5kvqwdz,2023-11-13T15:12:15Z,5860,5860,kj9lkowj,batora,Japan,N64,Yes
10,zglplovm,11,https://www.speedrun.com/sm64/run/zglplovm,2024-04-16T19:55:07Z,5867,5867,1xyd46wx,Kally,United States,N64,Yes
11,zglxd1dm,12,https://www.speedrun.com/sm64/run/zglxd1dm,2024-03-21T19:42:58Z,5875,5875,dx35192j,Dezanig,Brazil,N64,Yes
12,zg8doeny,13,https://www.speedrun.com/sm64/run/zg8doeny,2023-11-11T21:54:54Z,5876,5876,v81ddq38,Smau,Finland,N64,Yes
13,mewvv6qm,14,https://www.speedrun.com/sm64/run/mewvv6qm,2024-02-12T11:54:55Z,5909,5909,kj92gmv8,Dowsky,United States,N64,Yes
14,mejex90y,15,https://www.speedrun.com/sm64/run/mejex90y,2022-01-28T00:22:29Z,5912,5912,zxzk1q9x,ikori_o,Japan,N64,No
